probe,p_val,t_stat,p_adj
212956_at,8.451007448003044e-29,14.509918429905108,6.918979894595006e-28
231841_s_at,8.528484255344327e-29,16.685434969845687,6.945270954751152e-28
222379_at,8.615881514809949e-29,16.866773677406904,6.979319893742875e-28
202436_s_at,1.3739623432156453e-28,17.87155608478494,1.1071243934016594e-27
210511_s_at,1.4421211216604804e-28,14.924571250165904,1.1559620090377986e-27
238455_at,1.6986996771975997e-28,14.541072648192994,1.3545360446820443e-27
1554474_a_at,1.724876457017644e-28,15.580408279070669,1.3682828267844626e-27
235821_at,1.8392778935934308e-28,15.825558032864809,1.45151260571729e-27
216598_s_at,1.8661186409346135e-28,14.568720589450752,1.4582086946767713e-27
227530_at,1.8668119148050109e-28,16.281944646762867,1.4582086946767713e-27
235371_at,2.033563328930722e-28,14.399060523629945,1.580398708930424e-27
223343_at,2.140915851220711e-28,14.221570759552327,1.6554253374842973e-27
204938_s_at,2.5370857413668434e-28,17.781093145479055,1.951898628157104e-27
202555_s_at,3.011431016343542e-28,15.536387158810529,2.3052504430109814e-27
217428_s_at,3.0268509815781907e-28,15.61999520481461,2.3055267924359256e-27
205330_at,3.8550824337848154e-28,15.181431680031114,2.921847131744828e-27
232113_at,4.159759692406728e-28,16.69772342219938,3.137237482302808e-27
209708_at,4.315242846114049e-28,15.712997194614296,3.238547449706181e-27
203570_at,4.488463799652912e-28,14.331992321734955,3.35211613525298e-27
226997_at,4.881415410602424e-28,14.515865891102646,3.6278868901127726e-27
206025_s_at,5.146576795692149e-28,14.45415406213211,3.8064778136254495e-27
204955_at,5.758452548660611e-28,15.046929093014851,4.238553294230479e-27
203240_at,6.503582924070518e-28,-15.514015778334084,4.7641078740440016e-27
204959_at,7.101276357027239e-28,14.452875651412121,5.177168620289859e-27
244741_s_at,8.208959121283132e-28,16.328820362492934,5.9563584903717886e-27
227399_at,8.566458403037644e-28,16.428954297689188,6.186437648608789e-27
226677_at,9.143083652406227e-28,14.887093677932672,6.571859658137997e-27
214212_x_at,1.6282228728562133e-27,15.440463848955275,1.1648641207209638e-26
229225_at,1.6713360624560413e-27,15.046106066475817,1.1901467495907903e-26
222288_at,1.8672922130164958e-27,13.924335996768018,1.323529804689007e-26
218651_s_at,1.9874021321008973e-27,13.999306845311018,1.4021717346757945e-26
215440_s_at,2.0592397642441925e-27,14.136220027471216,1.446190861953146e-26
219607_s_at,2.3046459431485696e-27,13.832410944495754,1.611147460712539e-26
208396_s_at,2.5907324276407503e-27,16.875823513312497,1.8029142485081765e-26
205802_at,2.6708138443370267e-27,16.24293886243459,1.8502334822081394e-26
209526_s_at,2.9764957694981304e-27,14.459532317235775,2.0527094698656027e-26
225045_at,3.0155713686177936e-27,15.298683923000207,2.07033173334253e-26
204749_at,3.1824191883814206e-27,17.052370292754237,2.175126686344623e-26
213139_at,3.4817993254643216e-27,14.017343899918894,2.3691710076826114e-26
218854_at,3.659132683306581e-27,13.727588245350539,2.4788195301514936e-26
201348_at,3.76331655494773e-27,14.100055199112607,2.5381663637114425e-26
228532_at,4.1707260769835785e-27,15.23426306080074,2.800605975378008e-26
212398_at,4.192091767394342e-27,14.187245858185118,2.80266047855054e-26
205407_at,4.4910701068615606e-27,15.299467340910969,2.989490579828282e-26
235570_at,5.132277148330266e-27,15.4044283463899,3.4015222138933495e-26
217966_s_at,5.356053249144882e-27,14.800101900602915,3.5345334157072475e-26
204646_at,7.860208995248253e-27,13.595846096863614,5.1647982711266423e-26
216950_s_at,9.344094931395557e-27,14.780379156041281,6.11359373502846e-26
211564_s_at,1.0362730710503282e-26,14.592518549280083,6.751208816076819e-26
238617_at,1.0513734906242299e-26,14.770670285223945,6.820562771803796e-26
205786_s_at,1.2327791999983653e-26,15.047961431955594,7.963649599989441e-26
204527_at,1.6501045819692245e-26,14.872708238740863,1.061474838233144e-25
202311_s_at,1.9631907326123987e-26,13.527907691649226,1.2575920550751391e-25
226682_at,2.0020454138776112e-26,13.41833737058875,1.2771381369360927e-25
228423_at,2.211076911016015e-26,15.625190166924355,1.4046301870396343e-25
205941_s_at,3.0045378853973276e-26,14.73249716668894,1.9008047531170697e-25
216693_x_at,3.0804489926179716e-26,14.134915412558447,1.940809632797578e-25
1559477_s_at,3.614380151117761e-26,15.492422020566366,2.2678754144923326e-25
220622_at,4.8828025491834595e-26,-13.301520431537925,3.051253348081582e-25
1555997_s_at,5.496927854274193e-26,14.255287163196941,3.4210555060543858e-25
235489_at,5.737209000320363e-26,14.56902371768704,3.556140477526508e-25
228202_at,6.497453819200846e-26,16.424479097171343,4.0111297569340704e-25
223475_at,8.256737410022162e-26,14.46201918821087,5.0767329215839075e-25
227529_s_at,8.55044606443387e-26,16.013088586819908,5.236293169859302e-25
236297_at,8.966526916363183e-26,14.172074027891032,5.469224186833479e-25
230741_at,9.3454785426751406e-26,15.344479153642105,5.67774906699827e-25
219773_at,1.0872373888942923e-25,15.858411135214796,6.579290286154789e-25
205525_at,1.2201813295578715e-25,14.352899386665719,7.354715021862604e-25
207426_s_at,1.3364844771655145e-25,14.661909685558147,8.0241479785898145e-25
204671_s_at,1.43619550193915e-25,14.350238352217284,8.58912231823765e-25
235944_at,1.5316095105573654e-25,15.599665328641638,9.124101792464306e-25
209047_at,1.740818883146803e-25,13.464019328466769,1.0330208178673471e-24
213241_at,1.749599303886433e-25,13.240783062171984,1.0342226000965748e-24
37892_at,1.9776119237401146e-25,13.67430442337279,1.1645091750946599e-24
204052_s_at,2.0961944092343327e-25,15.579642765473354,1.2270831119976827e-24
222719_s_at,2.099907089114258e-25,14.314257390188052,1.2270831119976827e-24
204006_s_at,2.4809252581690763e-25,13.495775467639685,1.4442192282345459e-24
206101_at,2.6682419125364646e-25,15.242651914651455,1.5473781697323209e-24
213068_at,3.5448799572168938e-25,15.43817407796185,2.0480042318864394e-24
206796_at,3.5584385250009456e-25,14.405663843221939,2.0481087901415217e-24
1554899_s_at,3.854374388870641e-25,13.136861086745391,2.210130033468521e-24
212992_at,3.9190138269541912e-25,12.975127113368163,2.2388097645771893e-24
228141_at,4.136558296482147e-25,12.887451369617606,2.3543013947636308e-24
221523_s_at,6.045072745678019e-25,13.302569179430455,3.42778013838261e-24
226069_at,8.082832583594945e-25,15.793701567171258,4.566353020473749e-24
219386_s_at,1.2735224405340281e-24,13.754748244924528,7.16824579579999e-24
209949_at,1.759132575723296e-24,13.061739155799701,9.86531858400134e-24
227618_at,2.4443565477922118e-24,14.718779498356936,1.3658065236021447e-23
202952_s_at,2.5026075657449803e-24,14.445098827400887,1.3882218054911466e-23
203561_at,2.4980721064065885e-24,12.97132851367433,1.3882218054911466e-23
224663_s_at,2.6741300142687057e-24,13.832341086404425,1.4780119320741477e-23
204787_at,2.7824144729881602e-24,13.682576155408787,1.5323296971744147e-23
229127_at,3.1317286555875375e-24,14.624998853316756,1.7185220687112976e-23
231842_at,3.177544340877085e-24,14.70829623976915,1.737435852101006e-23
208791_at,3.5090874499707704e-24,12.695314125736124,1.9118907067278468e-23
204673_at,3.931621305516753e-24,-13.117745269907683,2.1345078789879958e-23
205206_at,4.3642141436413894e-24,12.619056928840035,2.360993587955819e-23
204774_at,4.526926554326163e-24,12.97251363090328,2.4403959699554066e-23
204237_at,4.5520782271806264e-24,12.799426063429214,2.4453444792328208e-23
1554018_at,5.09640389903083e-24,14.378502905272091,2.728179849446224e-23
209758_s_at,5.305205847343953e-24,14.373170719595992,2.8300592865099626e-23
230550_at,5.711446347987135e-24,13.281744272188995,3.0361890134612164e-23
214761_at,6.360839061663768e-24,12.893361319305521,3.369704015019802e-23
205559_s_at,6.485886172473674e-24,12.63297923761898,3.4241005965714464e-23
204235_s_at,6.5472902612718545e-24,12.624570269781522,3.4446396529234396e-23
210895_s_at,7.118229396014734e-24,12.945249162515816,3.7321949333214244e-23
231766_s_at,8.092841752992878e-24,12.49618160580218,4.228716970591159e-23
208792_s_at,8.724700389424491e-24,12.620393487111667,4.5433728898669717e-23
227727_at,9.221069549293719e-24,14.136068716272826,4.785578806769045e-23
204797_s_at,9.424706431572031e-24,13.989322613131757,4.8747383603840475e-23
204320_at,1.0974568969143177e-23,13.06732401320483,5.655574603785149e-23
227725_at,1.1008237961645815e-23,-13.527381870308123,5.655574603785149e-23
222043_at,1.1992389336886769e-23,14.443817129761472,6.140584640392523e-23
218820_at,1.2057279468942527e-23,14.4682308402535,6.153231622317003e-23
231879_at,1.4543775954976075e-23,12.464277983687778,7.397515278095804e-23
204284_at,1.4966083960458635e-23,14.475931833754876,7.587110775980851e-23
213933_at,1.577233597528276e-23,14.243055157271185,7.96945425021713e-23
1555728_a_at,1.5848044296271742e-23,13.14381235590342,7.981367045260539e-23
205700_at,1.9739414675898935e-23,13.779588119333571,9.908538973377465e-23
203874_s_at,2.1327307129147434e-23,12.254157227157533,1.0670623272785857e-22
229459_at,2.3627121864733093e-23,14.37438011483703,1.1782776408764288e-22
1553828_at,2.4590702913614283e-23,-12.291430607103651,1.2223495506734893e-22
241473_at,2.5955535457643774e-23,13.917662717029835,1.2860169833544537e-22
202435_s_at,2.7670804145890417e-23,15.008082899213132,1.366580682172846e-22
206953_s_at,2.818282116649471e-23,12.357078027582679,1.3873922574245467e-22
243864_at,4.340254205256635e-23,14.499342418073338,2.1297849962333036e-22
212775_at,4.974606979337095e-23,12.074562711527266,2.4332662253562594e-22
203951_at,5.2345653967683285e-23,14.171350826691073,2.544440768392511e-22
37512_at,5.235132867691973e-23,13.596567513245848,2.544440768392511e-22
227226_at,5.972139550137341e-23,-12.204347695356775,2.893463813689959e-22
214770_at,6.261707867628767e-23,13.812154757911152,3.0241876168263855e-22
235733_at,6.78219929180453e-23,12.276521533402473,3.2652663886014895e-22
227565_at,6.882501032529897e-23,12.636870212932717,3.303168990847421e-22
212554_at,6.97995959597718e-23,12.887380835987216,3.339474419200332e-22
205249_at,7.051984229796797e-23,13.648942620864672,3.36342300804327e-22
221900_at,7.403393611897784e-23,13.90794698366748,3.5200607514954994e-22
227646_at,9.877193331417637e-23,12.963078681212819,4.681728480000124e-22
242601_at,1.0474074372093978e-22,-12.0289349640917,4.949323414714778e-22
219410_at,1.114269990305638e-22,11.947946908338468,5.249068785101329e-22
235306_at,1.1292828226396179e-22,12.671740541355422,5.303472397120414e-22
227758_at,1.2629277171009204e-22,13.700585348832373,5.912973501166695e-22
205803_s_at,1.2703336941334975e-22,14.31207353392526,5.92951489548288e-22
226612_at,1.382423430053869e-22,13.776483502628016,6.433101128913293e-22
220979_s_at,1.4674531319332222e-22,13.92107710927233,6.808093166635646e-22
225895_at,1.6535723268149105e-22,12.623893975039469,7.648396472367457e-22
218736_s_at,1.7622353285563567e-22,12.859172400910454,8.12645267475838e-22
